feature,importance
V1,0.011860733682152371
V2,0.039449542716923455
V3,0.04386877662255237
V4,0.10949827139620685
V5,0.006659261152886269
V6,0.007581614544969958
V7,0.021659446048339318
V8,0.009534215931626322
V9,0.019128696758989646
V10,0.14046453246754265
V11,0.07201944284341778
V12,0.11445875696948599
V13,0.005018504259092628
V14,0.18156816538235823
V15,0.004175644636747555
V16,0.019699439963067125
V17,0.10085947818692519
V18,0.010648828486464692
V19,0.007585001226672657
V20,0.004730477970528135
V21,0.010466792647612468
V22,0.003228359032212164
V23,0.0035262520254248186
V24,0.0033670010381393113
V25,0.004488151209804854
V26,0.004345302939631619
V27,0.005996540051500199
V28,0.005816815813826342
Amount,0.01166508625098478
Hour,0.0062154361118441324
Amount_Scaled,0.009799635303788532
Is_Night,0.0006157963282816453
