feature,importance
V14,0.47392455
V10,0.22232123
V4,0.0778265
V12,0.035438284
V17,0.021622265
V3,0.017453039
V1,0.012342462
V8,0.011854412
V9,0.00864758
V20,0.0078424765
V13,0.0073609333
V18,0.0070814695
V2,0.0069139274
V11,0.006826486
V21,0.006697261
V19,0.0066909627
V16,0.0066109104
V7,0.0064048003
V26,0.0061233514
Time,0.005851485
V15,0.005142369
V28,0.0048440453
V23,0.0047594425
Amount,0.0047544367
V5,0.0044539305
V25,0.0042864867
V24,0.0042564156
V6,0.0042444477
V22,0.0037612426
V27,0.0036628628
